,height,crown,place,optimal,reasonable,marginal,optimal_growth,reasonable_growth,marginal_growth,optimal_init,reasonable_init,marginal_init
0,1,broad,open_ground,"[12.6, 18.8, 25.1, 31.4]","[10.0, 15.1, 20.1, 25.1]","[7.5, 11.3, 15.1, 18.8]",0.3133333333333333,0.2516666666666667,0.18833333333333335,6.333333333333334,4.966666666666666,3.733333333333333
1,1,broad,light_load,"[18.8, 28.3, 37.7, 47.1]","[15.1, 22.6, 30.1, 37.7]","[11.3, 17.0, 22.6, 28.3]",0.4716666666666667,0.3766666666666667,0.2833333333333333,9.366666666666667,7.5666666666666655,5.633333333333335
2,1,broad,moderate_load,"[20.4, 30.6, 40.8, 51.0]","[16.3, 24.5, 32.7, 40.8]","[12.2, 18.4, 24.5, 30.6]",0.51,0.4083333333333333,0.3066666666666667,10.2,8.133333333333335,6.0666666666666655
3,1,broad,heavy_load,"[27.5, 41.2, 55.0, 68.7]","[22.0, 33.0, 44.0, 55.0]","[16.5, 24.7, 33.0, 41.2]",0.6866666666666668,0.55,0.41166666666666674,13.766666666666666,11.0,8.266666666666666
4,1,regular,open_ground,"[8.8, 15.1, 18.8, 22.6]","[7.0, 12.1, 15.1, 18.1]","[5.3, 9.0, 11.3, 13.6]",0.23000000000000004,0.18500000000000003,0.13833333333333336,4.2,3.2999999999999994,2.5333333333333323
5,1,regular,light_load,"[13.2, 22.6, 28.3, 33.9]","[10.6, 18.1, 22.6, 27.1]","[7.9, 13.6, 17.0, 20.3]",0.345,0.275,0.2066666666666667,6.3,5.1,3.7666666666666666
6,1,regular,moderate_load,"[14.3, 24.5, 30.6, 36.7]","[11.4, 19.6, 24.5, 29.4]","[8.6, 14.7, 18.4, 22.0]",0.3733333333333334,0.3,0.22333333333333333,6.833333333333332,5.4,4.133333333333333
7,1,regular,heavy_load,"[19.2, 33.0, 41.2, 49.5]","[15.4, 26.4, 33.0, 39.6]","[11.5, 19.8, 24.7, 29.7]",0.505,0.40333333333333343,0.30333333333333334,9.1,7.333333333333332,5.433333333333334
8,1,small,open_ground,"[6.0, 9.0, 12.1, 15.1]","[4.8, 7.2, 9.6, 12.1]","[3.6, 5.4, 7.2, 9.0]",0.15166666666666667,0.12166666666666666,0.09,2.966666666666667,2.3666666666666667,1.8000000000000003
9,1,small,light_load,"[9.0, 13.6, 18.1, 22.6]","[7.2, 10.9, 14.5, 18.1]","[5.4, 8.1, 10.9, 13.6]",0.2266666666666667,0.1816666666666667,0.13666666666666666,4.466666666666666,3.5666666666666664,2.666666666666667
10,1,small,moderate_load,"[9.8, 14.7, 19.6, 24.5]","[7.8, 11.8, 15.7, 19.6]","[5.9, 8.8, 11.8, 14.7]",0.24499999999999997,0.19666666666666668,0.14666666666666667,4.900000000000001,3.8666666666666663,2.966666666666667
11,1,small,heavy_load,"[13.2, 19.8, 26.4, 33.0]","[10.6, 15.8, 21.1, 26.4]","[7.9, 11.9, 15.8, 19.8]",0.33,0.2633333333333333,0.19833333333333333,6.599999999999999,5.333333333333334,3.9333333333333336
12,2,broad,open_ground,"[7.9, 13.6, 17.0, 20.3]","[6.3, 10.9, 13.6, 16.3]","[4.7, 8.1, 10.2, 12.2]",0.2066666666666667,0.16666666666666669,0.12499999999999997,3.7666666666666666,2.966666666666666,2.2000000000000006
13,2,broad,light_load,"[11.9, 20.3, 25.4, 30.5]","[9.5, 16.3, 20.3, 24.4]","[7.1, 12.2, 15.3, 18.3]",0.31,0.2483333333333333,0.1866666666666667,5.7,4.533333333333334,3.3666666666666654
14,2,broad,moderate_load,"[12.9, 22.0, 27.6, 33.1]","[10.3, 17.6, 22.0, 26.5]","[7.7, 13.2, 16.5, 19.8]",0.3366666666666667,0.26999999999999996,0.20166666666666672,6.166666666666666,4.900000000000001,3.666666666666666
15,2,broad,heavy_load,"[17.3, 29.7, 37.1, 44.5]","[13.8, 23.7, 29.7, 35.6]","[10.4, 17.8, 22.3, 26.7]",0.4533333333333333,0.36333333333333334,0.2716666666666666,8.233333333333334,6.533333333333334,4.966666666666669
16,2,regular,open_ground,"[6.3, 8.8, 12.6, 15.1]","[5.0, 7.0, 10.0, 12.1]","[3.8, 5.3, 7.5, 9.0]",0.14666666666666667,0.11833333333333333,0.08666666666666667,3.3666666666666663,2.6333333333333333,2.0666666666666664
17,2,regular,light_load,"[9.4, 13.2, 18.8, 22.6]","[7.5, 10.6, 15.1, 18.1]","[5.7, 7.9, 11.3, 13.6]",0.22000000000000003,0.1766666666666667,0.13166666666666665,5.0,3.966666666666666,3.0666666666666673
18,2,regular,moderate_load,"[10.2, 14.3, 20.4, 24.5]","[8.2, 11.4, 16.3, 19.6]","[6.1, 8.6, 12.2, 14.7]",0.23833333333333334,0.19000000000000003,0.14333333333333334,5.433333333333333,4.399999999999999,3.233333333333333
19,2,regular,heavy_load,"[13.7, 19.2, 27.5, 33.0]","[11.0, 15.4, 22.0, 26.4]","[8.2, 11.5, 16.5, 19.8]",0.32166666666666666,0.25666666666666665,0.19333333333333336,7.266666666666666,5.866666666666667,4.333333333333332
20,2,small,open_ground,"[4.1, 6.9, 8.3, 11.1]","[3.3, 5.5, 6.6, 8.8]","[2.5, 4.1, 5.0, 6.6]",0.11666666666666667,0.09166666666666669,0.06833333333333333,1.7666666666666662,1.4666666666666661,1.1333333333333333
21,2,small,light_load,"[6.2, 10.4, 12.4, 16.6]","[5.0, 8.3, 9.9, 13.3]","[3.7, 6.2, 7.5, 9.9]",0.17333333333333337,0.13833333333333336,0.10333333333333335,2.733333333333333,2.2333333333333325,1.6333333333333333
22,2,small,moderate_load,"[6.7, 11.2, 13.5, 18.0]","[5.4, 9.0, 10.8, 14.4]","[4.0, 6.7, 8.1, 10.8]",0.18833333333333335,0.15,0.11333333333333336,2.933333333333333,2.4000000000000004,1.733333333333333
23,2,small,heavy_load,"[9.1, 15.1, 18.1, 24.2]","[7.3, 12.1, 14.5, 19.3]","[5.4, 9.1, 10.9, 14.5]",0.25166666666666665,0.2,0.15166666666666667,4.066666666666666,3.3,2.366666666666667
24,3,broad,open_ground,"[6.0, 10.0, 12.1]","[4.8, 8.0, 9.6]","[3.6, 6.0, 7.2]",0.1525,0.12,0.09,2.95,2.4,1.8000000000000003
25,3,broad,light_load,"[9.0, 15.1, 18.1]","[7.2, 12.1, 14.5]","[5.4, 9.0, 10.9]",0.22750000000000004,0.1825,0.1375,4.449999999999999,3.5500000000000003,2.6500000000000004
26,3,broad,moderate_load,"[9.8, 16.3, 19.6]","[7.8, 13.1, 15.7]","[5.9, 9.8, 11.8]",0.24500000000000002,0.19749999999999998,0.14750000000000002,4.9,3.85,2.95
27,3,broad,heavy_load,"[13.2, 22.0, 26.4]","[10.6, 17.6, 21.1]","[7.9, 13.2, 15.8]",0.32999999999999996,0.26250000000000007,0.1975,6.6,5.349999999999998,3.95
28,3,regular,open_ground,"[4.5, 6.8, 7.9]","[3.6, 5.4, 6.3]","[2.7, 4.1, 4.7]",0.085,0.06749999999999999,0.05,2.8,2.25,1.7000000000000002
29,3,regular,light_load,"[6.8, 10.2, 11.9]","[5.4, 8.1, 9.5]","[4.1, 6.1, 7.1]",0.1275,0.1025,0.075,4.25,3.3500000000000005,2.5999999999999996
30,3,regular,moderate_load,"[7.3, 11.0, 12.9]","[5.9, 8.8, 10.3]","[4.4, 6.6, 7.7]",0.14,0.11000000000000001,0.08249999999999999,4.5,3.7,2.7500000000000004
31,3,regular,heavy_load,"[9.9, 14.8, 17.3]","[7.9, 11.9, 13.8]","[5.9, 8.9, 10.4]",0.185,0.14750000000000002,0.1125,6.2,4.95,3.6500000000000004
32,3,small,open_ground,"[3.8, 5.0, 6.3]","[3.0, 4.0, 5.0]","[2.3, 3.0, 3.8]",0.0625,0.05,0.0375,2.55,2.0,1.5499999999999998
33,3,small,light_load,"[5.7, 7.5, 9.4]","[4.5, 6.0, 7.5]","[3.4, 4.5, 5.7]",0.0925,0.075,0.05750000000000001,3.85,3.0,2.25
34,3,small,moderate_load,"[6.1, 8.2, 10.2]","[4.9, 6.5, 8.2]","[3.7, 4.9, 6.1]",0.1025,0.08249999999999998,0.059999999999999984,4.05,3.250000000000001,2.5000000000000004
35,3,small,heavy_load,"[8.2, 11.0, 13.7]","[6.6, 8.8, 11.0]","[4.9, 6.6, 8.2]",0.1375,0.11000000000000001,0.08249999999999998,5.449999999999999,4.3999999999999995,3.250000000000001
